"[Zr], M","[BDC], M",Modulator,"[Mod], M",[H$_2$O]:[Zr] ratio,"Aging, h","T, $^o$C",Number of DMF washes,Total washes,Last  solvent in pores,"Activation T, $^o$C","Activation time, h","Time of synthesis, h",Zr source,TGA
0.008629824914322976,0.008627204036226356,4.7632812208034885,0.0,1.0000015122873345,0.0,120.0,0,0,4.6776863905325445,250.0,6.0,24.0,False,5.07
0.17424706328761566,0.1866475166314603,5.006167246780369,2.135433540372671,7.372584298136647,0.0,150.0,2,4,4.754125889717863,100.0,12.0,24.0,True,5.65
0.0015001675939003973,0.0015000260468417304,4.7632812208034885,0.0,0.09998855835240272,0.0,120.0,2,1,4.754125889717863,0.0,0.0,18.0,False,3.43
0.16178327697112121,0.16210186027014167,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,100.0,2,3,4.754125889717863,150.0,2.0,24.0,False,4.37
0.16178327697112121,0.2023271367075472,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,100.0,2,3,4.754125889717863,150.0,2.0,20.0,False,4.68
0.16178327697112121,0.2425524131449527,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,100.0,2,3,4.754125889717863,150.0,2.0,20.0,False,5.0
0.16178327697112121,0.283378066842618,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,100.0,2,3,4.754125889717863,150.0,2.0,20.0,False,5.0
0.16178327697112121,0.32360334328002355,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,100.0,2,3,4.754125889717863,150.0,2.0,20.0,False,5.12
0.16178327697112121,0.16210186027014167,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,160.0,2,3,4.754125889717863,150.0,2.0,20.0,False,5.0
0.16178327697112121,0.2023271367075472,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,160.0,2,3,4.754125889717863,150.0,2.0,20.0,False,5.37
0.16178327697112121,0.2425524131449527,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,160.0,2,3,4.754125889717863,150.0,2.0,20.0,False,6.0
0.16178327697112121,0.283378066842618,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,160.0,2,3,4.754125889717863,150.0,2.0,20.0,False,6.0
0.16178327697112121,0.32360334328002355,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,160.0,2,3,4.754125889717863,150.0,2.0,20.0,False,6.0
0.16178327697112121,0.16210186027014167,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,220.0,2,3,4.754125889717863,150.0,2.0,20.0,False,5.25
0.16178327697112121,0.2023271367075472,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,220.0,2,3,4.754125889717863,150.0,2.0,20.0,False,5.75
0.16178327697112121,0.2425524131449527,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,220.0,2,3,4.754125889717863,150.0,2.0,20.0,False,5.75
0.16178327697112121,0.283378066842618,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,220.0,2,3,4.754125889717863,150.0,2.0,20.0,False,5.81
0.16178327697112121,0.32360334328002355,5.006167246780369,1.9851555555555553,7.472076190476191,0.0,220.0,2,3,4.754125889717863,150.0,2.0,20.0,False,5.875
0.01716443529007896,0.017155239872389094,4.82824091293322,29.974769999999992,0.0,0.0,120.0,1,2,4.729187376725838,300.0,1.0,24.0,False,6.0
0.031025357024295958,0.03789981518266596,4.573278247393633,41.781833333333324,0.0,0.0,120.0,4,8,4.3539228796844185,120.0,12.0,24.0,True,4.3
0.055300240909684696,0.05493352311256405,5.006167246780369,0.9601648068669527,3.3148189699570816,0.0,120.0,3,6,4.754125889717863,120.0,24.0,24.0,False,3.86
0.019227468377828832,0.01921572077474082,4.7632812208034885,0.0,0.0,0.0,120.0,3,3,4.3539228796844185,150.0,24.0,24.0,False,5.58
0.014090440969946633,0.014089002953145491,5.006167246780369,51.61461794019934,178.19946843853825,0.0,120.0,3,3,4.729187376725838,80.0,20.0,24.0,False,4.755
0.036916263847701705,0.03694604865355821,4.7632812208034885,0.0,2.9738283062645015,0.0,120.0,4,4,4.891649641856121,200.0,24.0,72.0,False,5.37
0.03645385097923519,0.036483262700817254,4.573278247393633,6.001726218097448,2.9738283062645015,0.0,120.0,4,4,4.891649641856121,200.0,24.0,72.0,False,5.3
0.03600287916110585,0.036031927029289715,4.573278247393633,12.003452436194896,2.9738283062645015,0.0,120.0,4,4,4.891649641856121,200.0,24.0,72.0,False,5.4
0.03430531055249309,0.03433298878718305,4.573278247393633,36.01035730858469,2.973828306264502,0.0,120.0,4,4,4.891649641856121,200.0,24.0,72.0,False,5.325
0.0304732607120603,0.030497847169613748,4.573278247393633,100.05580510440835,2.9738283062645015,0.0,120.0,4,4,4.891649641856121,200.0,24.0,72.0,False,5.04
0.036610077645710594,0.03663961541420113,4.5246952662721895,6.001726218097448,2.9738283062645015,0.0,120.0,4,4,4.891649641856121,200.0,24.0,72.0,False,5.275
0.03630928513945811,0.036338580222328054,4.5246952662721895,12.003452436194895,2.973828306264501,0.0,120.0,4,4,4.891649641856121,200.0,24.0,72.0,False,5.095
0.03515296705135725,0.03518132919285739,4.5246952662721895,36.01035730858469,2.9738283062645015,0.0,120.0,4,4,4.891649641856121,200.0,24.0,72.0,False,4.975
0.03240161358291519,0.03242775587548267,4.5246952662721895,100.05580510440835,2.9738283062645015,0.0,120.0,4,4,4.891649641856121,200.0,24.0,72.0,False,4.73
0.03629610249251315,0.03632538693935066,4.5260803043110736,6.001726218097448,2.9738283062645015,0.0,120.0,4,4,4.891649641856121,200.0,24.0,72.0,False,4.86
