"[Zr], M","[BDC], M",Modulator,"[Mod], M",[H$_2$O]:[Zr] ratio,"Aging, h","T, $^o$C",Number of DMF washes,Total washes,Last  solvent in pores,"Activation T, $^o$C","Activation time, h","Time of synthesis, h",Zr source,Size
0.008614726045210084,0.007752234923727129,108.86559923906148,0.0,0.0,0.0,120.0,1,1,328.97561279601166,0.0,0.0,24.0,False,250.0
0.0015001675939003973,0.0015000260468417304,108.86559923906148,0.0,0.09998855835240272,0.0,120.0,2,1,229.5665249232223,0.0,0.0,18.0,False,220.0
0.01716443529007896,0.017155239872389094,108.86559923906148,0.0,0.0,0.0,120.0,1,2,151.39025191675793,300.0,1.0,24.0,False,180.0
0.01716443529007896,0.017155239872389094,342.44948364888126,9.991589999999997,0.0,0.0,120.0,1,2,151.39025191675793,300.0,1.0,24.0,False,70.0
0.01716443529007896,0.017155239872389094,342.44948364888126,29.974769999999992,0.0,0.0,120.0,1,2,151.39025191675793,300.0,1.0,24.0,False,150.0
0.016903529315100384,0.016894473671272996,108.86559923906148,0.0,49.95794999999998,0.0,120.0,4,1,189.23519793459553,300.0,1.0,24.0,False,46.0
0.013655781270591374,0.07009061960135765,241.420618322346,87.82711904761905,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,17.0
0.013068403114758046,0.06707580133011583,241.420618322346,145.3837261904762,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,34.0
0.012481465469544348,0.06406324405454017,241.420618322346,208.30716719047624,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,72.0
0.011727584955183872,0.06019382411364595,241.420618322346,298.4416666666667,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,208.0
0.010642091610874658,0.0546223449307132,241.420618322346,451.07326190476186,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,270.0
0.009805673039451396,0.05032928437595814,241.420618322346,591.7671904761905,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,514.0
0.009049062465419653,0.04644585193954162,241.420618322346,740.5770270000002,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,721.0
0.013665328542512085,0.07013962259804933,311.6533132530121,131.720214,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,17.0
0.013332922108767969,0.06843349004957495,311.6533132530121,180.00295952380952,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,31.0
0.01305676347715862,0.06701605891076147,311.6533132530121,222.04059999999998,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,44.0
0.012505422217086662,0.06418620613525906,311.6533132530121,311.8630147619048,0.0,0.0,90.0,3,6,280.8495983935743,0.0,0.0,18.0,True,147.0
