"[Zr], M","[BDC], M",Modulator,"[Mod],M",[H$_2$O]:[Zr] ratio,"Aging, h","T, $^o$C",Number of DMF washes,Total washes,Last  solvent in pores,"Activation T, $^o$C","Activation time, h","Time of synthesis, h",Zr source,Area
0.036308362141487194,0.03631249038213144,1402.6343131188119,6.0342255555555555,5.993227777777777,0.0,120.0,2,4,1121.3581683168316,160.0,12.0,72.0,False,1085.0
0.030489467452596654,0.030492934088141067,1320.229446605375,100.06694444444445,5.993227777777777,0.0,120.0,2,4,1121.3581683168316,160.0,12.0,72.0,False,1096.0
0.049928130310890884,0.050026448683260144,1105.0042574257425,0.0,2.996228571428571,0.0,120.0,3,6,1121.3581683168316,25.0,12.0,72.0,False,1097.0
0.03358260295254686,0.03358642127588262,1402.6343131188119,35.246976333333336,5.993227777777777,0.0,120.0,2,4,1121.3581683168316,160.0,12.0,72.0,False,1193.0
0.036695034348731434,0.03669920655379125,1320.229446605375,3.002008333333333,5.993227777777777,0.0,120.0,2,4,1121.3581683168316,160.0,12.0,72.0,False,971.0
0.148538382317991,0.14781323672877555,1296.5647502250224,1.9119238974358972,39.83589743589744,0.0,120.0,3,3,1233.1089167845357,200.0,3.0,24.0,False,1071.0
0.14024014866894122,0.1395555140064976,1296.5647502250224,1.9119238974358974,61.74564102564102,0.0,120.0,3,3,1233.1089167845357,200.0,3.0,24.0,False,1091.0
0.15306699153500292,0.1523197378485553,1296.5647502250224,1.9119238974358972,28.881025641025637,0.0,120.0,3,3,1233.1089167845357,200.0,3.0,24.0,False,1113.0
0.157880418941764,0.15710966671171742,1296.5647502250224,1.9119238974358972,17.926153846153845,0.0,120.0,3,3,1233.1089167845357,200.0,3.0,24.0,False,1195.0
0.16300640656974336,0.16221062991664328,1296.5647502250224,1.9119238974358974,6.600808205128203,0.0,120.0,3,3,1233.1089167845357,200.0,3.0,24.0,False,1244.0
0.12305385593990431,0.1224531225841327,1296.5647502250224,1.9119238974358972,117.51589743589741,0.0,120.0,3,3,1233.1089167845357,200.0,3.0,24.0,False,944.0
0.03365575547074305,0.05901355305259406,1320.229446605375,10.195500000000001,0.0,0.0,120.0,1,2,1211.734313118812,80.0,12.0,24.0,False,1024.0
0.040149483537437164,0.04022854581852575,1296.5647502250224,2.9592380952380952,10.216769523809525,0.0,130.0,2,5,1211.734313118812,150.0,24.0,24.0,False,1090.0
0.019683380461346787,0.018430456326767503,1320.229446605375,35.13165829145729,0.0,0.0,120.0,1,2,1211.734313118812,60.0,12.0,48.0,False,1122.0
0.040149483537437164,0.0804570916370515,1296.5647502250224,2.9592380952380952,10.216769523809525,0.0,130.0,2,5,1211.734313118812,150.0,24.0,24.0,False,1177.7
0.020494335736354275,0.019189791127430328,1335.2527227722774,35.13165829145729,0.0,0.0,120.0,1,2,1211.734313118812,60.0,12.0,48.0,False,1238.0
0.04859809991769343,0.059468597317095986,1296.5647502250224,8.503480851063829,31.361234042553196,0.0,120.0,3,6,1211.734313118812,150.0,24.0,24.0,False,1245.0
0.04389881148357789,0.08621110358987653,1448.2931368136813,100.44024,0.0,0.0,120.0,3,6,1211.734313118812,150.0,18.0,24.0,False,1263.0
0.01444060373071382,0.01443912997763344,1320.229446605375,37.63565891472868,23.871760797342198,0.0,120.0,3,3,1211.734313118812,80.0,20.0,24.0,False,1340.0
0.06775771416461976,0.060973931770116556,1448.2931368136813,99.81147169811318,0.0,0.0,120.0,0,1,1211.734313118812,90.0,24.0,4.0,False,1367.3
0.016674213415658595,0.016665280622099373,1320.229446605375,29.97477,0.0,0.0,120.0,1,2,1211.734313118812,300.0,1.0,24.0,False,1400.0
0.014090440969946633,0.014089002953145491,1296.5647502250224,51.61461794019934,178.19946843853825,0.0,120.0,3,3,1211.734313118812,80.0,20.0,24.0,False,1554.0
0.03352428767593546,0.04627400228736532,1296.5647502250224,22.371840000000002,77.2387776,0.0,80.0,2,3,1211.734313118812,150.0,3.0,12.0,False,1580.0
0.03396453115183077,0.04716886487697935,1105.0042574257425,0.0,0.0,0.0,120.0,2,3,1211.734313118812,300.0,1.0,24.0,False,787.0
0.09000600755235152,0.12499749192399527,1448.2931368136813,23.091051251489873,0.0,0.0,120.0,2,3,1211.734313118812,300.0,1.0,24.0,False,918.4
0.09000600755235152,0.12499749192399527,1320.229446605375,22.035566150178784,0.0,0.0,120.0,2,3,1211.734313118812,300.0,1.0,24.0,False,995.2
0.026978027271846883,0.03774397238877492,1105.0042574257425,0.0,14.00203475513428,0.0,100.0,1,1,1233.1089167845357,150.0,24.0,12.0,False,1018.0
0.09165475154896531,0.09350496949692574,1402.6343131188119,0.0,0.0,0.5,120.0,5,2,1233.1089167845357,150.0,8.0,72.0,False,1041.0
0.10169927909371781,0.1348341660145669,1335.2527227722774,13.274430379746837,0.0,0.0,120.0,2,5,1233.1089167845357,120.0,24.0,24.0,False,1042.0
0.07627327136408686,0.07548940391906017,1163.0186262376237,0.16830666666666663,4.440706666666666,0.5,110.0,0,3,1233.1089167845357,80.0,0.0,3.0,False,1050.0
0.07627327136408686,0.07548940391906017,1163.0186262376237,0.16830666666666663,4.440706666666666,0.5,110.0,0,3,1233.1089167845357,80.0,0.0,0.5,False,1052.0
0.026808762751936135,0.037507160582576714,1105.0042574257425,0.0,27.003924170616116,0.0,100.0,1,1,1233.1089167845357,150.0,24.0,12.0,False,1068.0
0.025646816081538796,0.05011477297048476,1105.0042574257425,0.0,7.200275352973874,0.0,110.0,3,6,1233.1089167845357,100.0,12.0,24.0,False,1070.0
0.07627327136408686,0.07548940391906017,1163.0186262376237,0.16830666666666663,4.440706666666666,0.5,110.0,0,3,1233.1089167845357,80.0,0.0,10.0,False,1086.0
0.02704531439824797,0.02704728130368623,1162.8317281728173,2.9993791798107248,4.875755507886435,0.0,120.0,2,4,1233.1089167845357,90.0,12.0,24.0,False,1100.0
0.16178327697112121,0.32360334328002355,1296.5647502250224,1.9851555555555553,7.472076190476191,0.0,220.0,2,3,1233.1089167845357,150.0,2.0,20.0,False,1105.0
0.025561849656883982,0.038344531848286734,1105.0042574257425,0.0,14.400550705947747,0.0,110.0,3,6,1233.1089167845357,100.0,12.0,24.0,False,1107.0
